,Tool_ID,Position,TCond,Machined_length,Init_diameter,Final_diameter,R_measurement,ap,vc,f,Exp
30,-0.5228576646712972,0.080628474257883,0.5320030625940535,0.0,0.449559932913243,1.3056317910812116,-0.02544788713693836,-1.1082114494247142,0.0,0.0,0.0
173,1.155413921938098,-0.10365615153995716,16.358476160272257,0.0,1.2240257865824664,1.1085368433250455,0.00966789278429476,1.4736664536558888,0.0,0.0,0.0
140,0.8252643585200728,0.05309912174378285,-6.274293978794413,0.0,1.720203787623535,3.338782269188712,-0.00578084977693655,1.502923137688071,0.0,0.0,0.0
75,-0.2644118943425107,-0.07572094779653059,22.200459673148792,0.0,1.5665322022389485,-0.729583285264834,0.05240327922710902,-0.8939832222184642,0.0,0.0,0.0
60,-0.3263660261652916,0.05235097403407797,18.345118154417573,0.0,1.2408340781168787,0.8514467604608745,-0.056254074012970466,-0.9574292954482119,0.0,0.0,0.0
209,-0.29950537159449797,-0.01951613186846467,-9.4671556297655,0.0,-0.3624833717669641,0.9303453320913224,-0.02475080372538034,1.2258083700669302,0.0,0.0,0.0
45,-0.4989326933195111,-0.03272510306902919,9.921002163407012,0.0,0.5623983059395061,1.2426331825929497,0.012617100237627441,-0.9028211363298773,0.0,0.0,0.0
183,0.9041978552699894,-0.1414490054037921,19.975981314643978,0.0,2.3084954216839066,1.5603390362076466,0.03297191708564166,1.3391884467795776,0.0,0.0,0.0
9,-0.3910188297512411,-0.05639159918274953,-12.37853324722983,0.0,0.2459940441783313,1.5170935115124147,-0.024628689920186807,-0.8128528923726211,0.0,0.0,0.0
100,-0.6012231270043792,0.04890825728899448,-8.985621858130706,0.0,-2.098224999784308,-2.352324816313175,0.31355737232436953,-1.1706342791904343,0.0,0.0,0.0
137,0.8160820766980029,-0.05540353311359706,-6.522218723274255,0.0,0.9717362261774483,2.0312690771583775,0.0003399813970479444,1.5108729484286976,0.0,0.0,0.0
189,0.8377279174749377,-0.07237062416137179,22.940075326084912,0.0,1.6222056916637653,1.2852268469664014,0.04073057931252628,1.2494895469596397,0.0,0.0,0.0
156,0.818736064895804,0.07739346131639505,7.895208505076722,0.0,0.12525942166394016,1.0102411639093765,-0.016507557822543994,1.4534623979330938,0.0,0.0,0.0
82,-0.025376573778573993,0.03160220743070719,-13.290747514338731,0.0,-0.5936492677240234,-1.0340974129683163,-0.00338438935615532,-0.6785519729205849,0.0,0.0,0.0
15,-0.6476693159933485,-0.06765251981452135,-7.539705532960599,0.0,0.16463158695670557,0.0524539119076866,0.038889174875386394,-1.1805650655016366,0.0,0.0,0.0
201,-0.39254365723344364,-0.05915767975315194,-12.46772715195782,0.0,-0.5604998122451131,-0.09662256700746984,-0.040412761413379114,0.8632589995478437,0.0,0.0,0.0
167,1.0838334974143098,-0.09230669162433157,11.73502575416701,0.0,0.8077851223923449,1.3509183997157532,0.00595849979268727,1.4591061127295437,0.0,0.0,0.0
18,-0.5562960801332587,0.056640986857454834,-6.928723022644607,0.0,0.6787652748231117,0.9540448956715839,-0.014436930392800387,-1.0443347621233263,0.0,0.0,0.0
210,-0.3008763712120891,0.014835054776081453,-9.445429380476634,0.0,-0.3624411128081564,0.8497894944753558,-0.018883429101664337,1.2271919189774418,0.0,0.0,0.0
86,-0.21589436424703679,0.045806785496798536,-9.918528407214032,0.0,-0.7705480626254934,-1.7169658658458187,0.0011823913675907912,-0.898405212255571,0.0,0.0,0.0
79,-0.36913668056965304,-0.023190886241645142,-14.547617616682338,0.0,-0.6445607409452958,-1.3608132759346647,0.0052191651575472665,-0.6109691431756791,0.0,0.0,0.0
55,-0.3394247618417883,-0.046615648472133085,13.98152271690491,0.0,0.9093181485188162,1.1648834077502435,0.0021608591250929818,-0.8811113823560821,0.0,0.0,0.0
148,0.7777687846110084,0.07680700193529381,1.5625187038174757,0.0,1.190498216042202,1.1525619228460091,-0.04763346766184935,1.5387150923709836,0.0,0.0,0.0
207,-0.4502303692317939,-0.014010353505387483,-9.906727107350079,0.0,-0.7812286605559183,-0.018451672204370415,0.026308872830323814,0.981546119535571,0.0,0.0,0.0
150,0.7711064113192787,0.07286487285934241,1.5899219990908864,0.0,1.2246727628825091,1.1807926327972715,-0.005350901857055866,1.5546004260031758,0.0,0.0,0.0
143,0.843746217046794,-0.0527049745146713,-6.180437792193867,0.0,1.7474436460510194,3.3843871663286924,-0.011893793899047182,1.4977046349449499,0.0,0.0,0.0
25,-0.48824883709453554,-0.08625591740409808,-1.6321719705761737,0.0,0.5496573310680004,1.070453808368621,0.027500295111969844,-1.176653827661469,0.0,0.0,0.0
104,-0.6247149693709625,0.0497690682487554,-6.469066870949877,0.0,-2.079026596895034,-2.8930028955814855,0.3193776392753905,-1.2155212031831373,0.0,0.0,0.0
16,-0.5596181017208424,0.057399590783244095,-6.869737141260961,0.0,0.6388282753342264,0.923425491044487,0.0008973665633708882,-1.0488857492259973,0.0,0.0,0.0
177,0.8732683702737971,-0.10635950436952132,17.81176689316792,0.0,2.125623820883492,1.5535181509917342,0.010159292127852272,1.4080240141982565,0.0,0.0,0.0
135,0.7539240378419547,-0.05878989178272894,-8.250293382047623,0.0,0.9616595319653318,1.4132567143207693,-0.014658557126182503,1.262654522520713,0.0,0.0,0.0
126,0.6939502050275348,0.0198602767281071,-11.834689305949004,0.0,0.6907908960347167,0.10413586140153677,0.002639943153581199,1.1448191413266946,0.0,0.0,0.0
109,-0.6080416505953333,-0.04546140089247314,-4.327971791151799,0.0,-2.485226605148752,-3.334886672522986,-0.01702004587800707,-1.2081066134756295,0.0,0.0,0.0
68,-0.2048422312571676,0.05139373516490775,21.94831754298286,0.0,1.5170299732340184,1.040545015806021,-0.13748428468425736,-0.9236783621526748,0.0,0.0,0.0
73,-0.25335858751637047,-0.07789745298584912,22.20848122015092,0.0,1.558869727469875,-0.7395955502458048,0.05102712660526933,-0.8927770918693394,0.0,0.0,0.0
147,0.797817329750936,-0.08090360202899154,-1.0649239208832102,0.0,1.2796923476069475,1.2830716471227595,0.003954832121401012,1.5732406364195428,0.0,0.0,0.0
181,0.8873062308473826,-0.14470236461732872,19.97365938376868,0.0,2.3085775640145245,1.5419539649565277,0.010808619737361804,1.340041714876147,0.0,0.0,0.0
96,-0.30109746485946165,0.03918236795521228,-12.849084078690492,0.0,-1.1693512306761529,-1.8415717367976019,0.33656081875678,-0.9573339381251948,0.0,0.0,0.0
190,0.7931671310043985,0.06966228047744437,22.948079904236153,0.0,1.6024031660436342,1.2196887019336196,0.0028427979455933634,1.2498283432494912,0.0,0.0,0.0
93,-0.3981440120328405,-0.029176661064118342,-2.377396419677292,0.0,-2.096711801594942,-3.471855203127333,-0.010538018609577284,-0.9987620606361284,0.0,0.0,0.0
115,0.2785389627827844,-0.024695404027353297,-14.211588784294094,0.0,-1.6999112557626708,-2.0961014080663274,0.13102767481966823,0.8607223671219949,0.0,0.0,0.0
163,0.8483896569569531,-0.08080319193639281,8.514428123780885,0.0,1.1578464355989895,1.9825902634095003,0.0019887643579269082,1.4591427003038469,0.0,0.0,0.0
196,-0.46562374527501826,0.036643891040305056,-14.673408250576161,0.0,-0.4523813913416434,-0.2021166348447529,0.042990751776792166,0.7715784064173368,0.0,0.0,0.0
